iter	Passed	Remaining
0	2	1265
1	5	1304
2	7	1244
3	9	1204
4	12	1202
5	14	1168
6	16	1146
7	18	1130
8	21	1178
9	23	1170
10	26	1175
11	28	1172
12	30	1154
13	32	1141
14	35	1145
15	37	1143
16	40	1137
17	42	1132
18	44	1130
19	46	1117
20	48	1107
21	50	1094
22	53	1101
23	55	1094
24	57	1087
25	59	1079
26	61	1078
27	63	1074
28	65	1068
29	68	1072
30	71	1081
31	74	1086
32	76	1083
33	78	1080
34	80	1076
35	83	1075
36	86	1076
37	88	1075
38	90	1071
39	92	1065
40	94	1060
41	96	1054
42	98	1050
43	101	1052
44	103	1045
45	105	1040
46	107	1034
47	109	1029
48	111	1026
49	113	1021
50	116	1021
51	118	1018
52	120	1014
53	122	1010
54	124	1006
55	126	1001
56	128	997
57	130	996
58	133	995
59	135	993
60	137	991
61	140	990
62	142	985
63	144	981
64	146	980
65	149	980
66	151	978
67	153	974
68	155	971
69	157	968
70	159	964
71	161	961
72	164	960
73	166	959
74	168	956
75	170	953
76	173	953
77	175	951
78	178	950
79	181	952
80	183	950
81	185	948
82	188	944
83	190	941
84	192	937
85	194	937
86	196	934
87	198	931
88	201	928
89	203	925
90	205	923
91	207	920
92	210	919
93	212	917
94	214	915
95	216	912
96	218	908
97	220	905
98	223	903
99	225	901
100	227	900
101	229	896
102	231	894
103	234	891
104	236	888
105	238	885
106	240	882
107	242	881
108	245	879
109	247	877
110	249	875
111	251	872
112	254	871
113	256	869
114	259	868
115	261	866
116	263	863
117	265	860
118	267	857
119	270	855
120	272	854
121	275	852
122	277	849
123	279	846
124	281	844
125	283	841
126	285	838
127	288	837
128	290	835
129	293	835
130	295	833
131	297	830
132	299	827
133	301	824
134	304	822
135	306	820
136	309	819
137	311	817
138	313	815
139	316	812
140	318	810
141	320	808
142	323	806
143	325	803
144	327	801
145	329	798
146	331	795
147	333	793
148	336	791
149	338	789
150	340	787
151	343	785
152	345	783
153	347	781
154	349	778
155	352	776
156	354	774
157	356	771
158	358	769
159	360	766
160	362	763
161	364	761
162	367	759
163	369	757
164	371	755
165	373	752
166	376	749
167	378	747
168	380	745
169	383	743
170	385	741
171	387	739
172	389	736
173	391	733
174	393	731
175	395	728
176	397	725
177	400	724
178	402	722
179	404	719
180	406	716
181	408	714
182	410	711
183	412	709
184	415	707
185	417	704
186	419	702
187	421	699
188	423	697
189	425	694
190	427	692
191	430	689
192	432	687
